时间,金价(USD/盎司),金价(CNY/克)
04:30:00,5027.8 USD/oz,1120.22 CNY/克
04:35:00,5031.1 USD/oz,1120.95 CNY/克
04:40:00,5031.0 USD/oz,1120.93 CNY/克
04:45:00,5034.0 USD/oz,1121.6 CNY/克
04:50:00,5042.4 USD/oz,1123.47 CNY/克
04:55:00,5036.3 USD/oz,1122.11 CNY/克
05:00:00,5032.6 USD/oz,1121.29 CNY/克
05:05:00,5028.3 USD/oz,1120.33 CNY/克
05:10:00,5028.9 USD/oz,1120.46 CNY/克
05:15:00,5030.2 USD/oz,1120.75 CNY/克
05:20:00,5029.6 USD/oz,1120.62 CNY/克
05:25:00,5028.0 USD/oz,1120.26 CNY/克
05:30:00,5025.0 USD/oz,1119.59 CNY/克
05:35:00,5027.7 USD/oz,1120.19 CNY/克
05:40:00,5026.8 USD/oz,1119.99 CNY/克
05:45:00,5026.7 USD/oz,1119.97 CNY/克
05:50:00,5023.7 USD/oz,1119.3 CNY/克
05:55:00,5027.7 USD/oz,1120.19 CNY/克
06:00:00,5025.7 USD/oz,1119.75 CNY/克
06:05:00,5026.8 USD/oz,1119.99 CNY/克
06:10:00,5026.8 USD/oz,1119.99 CNY/克
06:15:00,5026.8 USD/oz,1119.99 CNY/克
06:20:00,5026.8 USD/oz,1119.99 CNY/克
06:25:00,5026.8 USD/oz,1119.99 CNY/克
06:30:00,5026.8 USD/oz,1119.99 CNY/克
06:35:00,5026.8 USD/oz,1119.99 CNY/克
06:40:00,5026.8 USD/oz,1119.99 CNY/克
06:45:00,5026.8 USD/oz,1119.99 CNY/克
06:50:00,5026.8 USD/oz,1119.99 CNY/克
06:55:00,5026.8 USD/oz,1119.99 CNY/克
07:00:00,5026.8 USD/oz,1119.99 CNY/克
07:05:00,5037.0 USD/oz,1122.27 CNY/克
07:10:00,5035.6 USD/oz,1121.95 CNY/克
07:15:00,5035.5 USD/oz,1121.93 CNY/克
07:20:00,5042.2 USD/oz,1123.42 CNY/克
07:25:00,5054.3 USD/oz,1126.12 CNY/克
07:30:00,5046.4 USD/oz,1124.36 CNY/克
07:35:00,5044.4 USD/oz,1123.92 CNY/克
07:40:00,5044.5 USD/oz,1123.94 CNY/克
07:45:00,5043.8 USD/oz,1123.78 CNY/克
07:50:00,5043.5 USD/oz,1123.71 CNY/克
07:55:00,5042.3 USD/oz,1123.45 CNY/克
08:00:00,5041.3 USD/oz,1123.22 CNY/克
08:05:00,5041.7 USD/oz,1123.31 CNY/克
08:10:00,5043.4 USD/oz,1123.69 CNY/克
08:15:00,5039.0 USD/oz,1122.71 CNY/克
08:20:00,5040.5 USD/oz,1123.05 CNY/克
08:25:00,5037.8 USD/oz,1122.44 CNY/克
08:30:00,5040.2 USD/oz,1121.36 CNY/克
08:35:00,5046.2 USD/oz,1122.69 CNY/克
08:40:00,5049.5 USD/oz,1123.43 CNY/克
08:45:00,5046.6 USD/oz,1122.78 CNY/克
08:50:00,5036.5 USD/oz,1120.54 CNY/克
08:55:00,5039.7 USD/oz,1121.25 CNY/克
09:00:00,5039.9 USD/oz,1121.29 CNY/克
09:05:00,5046.3 USD/oz,1122.72 CNY/克
09:10:00,5039.7 USD/oz,1121.25 CNY/克
09:15:00,5046.0 USD/oz,1122.65 CNY/克
09:20:00,5039.1 USD/oz,1121.11 CNY/克
09:25:00,5040.3 USD/oz,1121.38 CNY/克
09:30:00,5036.6 USD/oz,1120.56 CNY/克
09:35:00,5040.7 USD/oz,1121.47 CNY/克
09:40:00,5042.5 USD/oz,1121.87 CNY/克
09:45:00,5046.6 USD/oz,1122.78 CNY/克
09:50:00,5045.3 USD/oz,1122.49 CNY/克
09:55:00,5047.9 USD/oz,1123.07 CNY/克
10:00:00,5052.7 USD/oz,1124.14 CNY/克
10:05:00,5047.5 USD/oz,1122.98 CNY/克
10:10:00,5043.0 USD/oz,1121.98 CNY/克
10:15:00,5038.8 USD/oz,1121.05 CNY/克
10:20:00,5046.6 USD/oz,1122.78 CNY/克
10:25:00,5045.8 USD/oz,1122.6 CNY/克
10:30:00,5044.0 USD/oz,1122.2 CNY/克
10:35:00,5046.1 USD/oz,1122.67 CNY/克
10:40:00,5048.2 USD/oz,1123.14 CNY/克
10:45:00,5054.4 USD/oz,1124.52 CNY/克
10:50:00,5053.4 USD/oz,1124.3 CNY/克
10:55:00,5056.0 USD/oz,1124.87 CNY/克
11:00:00,5054.9 USD/oz,1124.63 CNY/克
11:05:00,5055.3 USD/oz,1124.72 CNY/克
11:10:00,5052.3 USD/oz,1124.05 CNY/克
11:15:00,5051.5 USD/oz,1123.87 CNY/克
11:20:00,5050.2 USD/oz,1123.58 CNY/克
11:25:00,5059.0 USD/oz,1125.54 CNY/克
11:30:00,5058.0 USD/oz,1125.32 CNY/克
11:35:00,5057.5 USD/oz,1125.21 CNY/克
11:40:00,5056.6 USD/oz,1125.01 CNY/克
11:45:00,5057.4 USD/oz,1125.19 CNY/克
11:50:00,5058.5 USD/oz,1125.43 CNY/克
11:55:00,5056.3 USD/oz,1124.94 CNY/克
12:00:00,5055.2 USD/oz,1124.7 CNY/克
12:05:00,5057.6 USD/oz,1125.23 CNY/克
12:10:00,5055.6 USD/oz,1124.79 CNY/克
12:15:00,5055.1 USD/oz,1124.67 CNY/克
12:20:00,5059.7 USD/oz,1125.7 CNY/克
12:25:00,5058.7 USD/oz,1125.47 CNY/克
12:30:00,5058.8 USD/oz,1125.5 CNY/克
12:35:00,5058.5 USD/oz,1125.43 CNY/克
12:40:00,5058.5 USD/oz,1125.43 CNY/克
12:45:00,5054.0 USD/oz,1124.43 CNY/克
12:50:00,5052.4 USD/oz,1124.07 CNY/克
12:55:00,5047.2 USD/oz,1122.92 CNY/克
13:00:00,5050.0 USD/oz,1123.54 CNY/克
13:05:00,5047.5 USD/oz,1122.98 CNY/克
13:10:00,5048.9 USD/oz,1123.29 CNY/克
13:15:00,5050.4 USD/oz,1123.63 CNY/克
13:20:00,5049.5 USD/oz,1123.43 CNY/克
13:25:00,5051.6 USD/oz,1123.9 CNY/克
13:30:00,5054.6 USD/oz,1124.56 CNY/克
13:35:00,5056.3 USD/oz,1124.94 CNY/克
13:40:00,5062.9 USD/oz,1126.41 CNY/克
13:45:00,5064.0 USD/oz,1126.65 CNY/克
13:50:00,5058.4 USD/oz,1125.41 CNY/克
13:55:00,5050.4 USD/oz,1123.63 CNY/克
14:00:00,5053.6 USD/oz,1124.34 CNY/克
14:05:00,5053.7 USD/oz,1124.36 CNY/克
14:10:00,5057.4 USD/oz,1125.19 CNY/克
14:15:00,5056.8 USD/oz,1125.05 CNY/克
14:20:00,5061.8 USD/oz,1126.16 CNY/克
14:25:00,5057.7 USD/oz,1125.25 CNY/克
14:30:00,5057.6 USD/oz,1125.23 CNY/克
14:35:00,5058.4 USD/oz,1125.41 CNY/克
14:40:00,5058.5 USD/oz,1125.43 CNY/克
14:45:00,5058.4 USD/oz,1125.41 CNY/克
14:50:00,5059.7 USD/oz,1125.7 CNY/克
14:55:00,5060.4 USD/oz,1125.85 CNY/克
15:00:00,5063.3 USD/oz,1126.5 CNY/克
15:05:00,5061.9 USD/oz,1126.19 CNY/克
15:10:00,5066.4 USD/oz,1127.19 CNY/克
15:15:00,5064.3 USD/oz,1126.72 CNY/克
15:20:00,5059.3 USD/oz,1125.61 CNY/克
15:25:00,5059.3 USD/oz,1125.61 CNY/克
15:30:00,5059.3 USD/oz,1125.61 CNY/克
15:35:00,5059.3 USD/oz,1125.61 CNY/克
15:40:00,5060.0 USD/oz,1125.76 CNY/克
15:45:00,5056.9 USD/oz,1125.07 CNY/克
15:50:00,5052.7 USD/oz,1124.14 CNY/克
15:55:00,5059.2 USD/oz,1125.59 CNY/克
16:00:00,5055.8 USD/oz,1124.83 CNY/克
16:05:00,5059.3 USD/oz,1125.61 CNY/克
16:10:00,5059.2 USD/oz,1125.59 CNY/克
16:15:00,5059.2 USD/oz,1125.59 CNY/克
16:20:00,5059.3 USD/oz,1125.61 CNY/克
16:25:00,5056.1 USD/oz,1124.9 CNY/克
16:30:00,5054.5 USD/oz,1124.54 CNY/克
16:35:00,5050.1 USD/oz,1123.56 CNY/克
16:40:00,5059.3 USD/oz,1125.61 CNY/克
16:45:00,5059.3 USD/oz,1125.61 CNY/克
16:50:00,5059.3 USD/oz,1125.61 CNY/克
16:55:00,5059.3 USD/oz,1125.61 CNY/克
17:00:00,5054.8 USD/oz,1124.61 CNY/克
17:05:00,5054.2 USD/oz,1124.47 CNY/克
17:10:00,5052.7 USD/oz,1124.14 CNY/克
17:15:00,5059.3 USD/oz,1125.61 CNY/克
17:20:00,5054.0 USD/oz,1124.43 CNY/克
17:25:00,5054.2 USD/oz,1124.47 CNY/克
17:30:00,5059.3 USD/oz,1125.61 CNY/克
17:35:00,5059.4 USD/oz,1125.63 CNY/克
